Location,Name,Phone,_id
"M9R2+3G9, Mangal Galli, Kathmandu 44600",5 5 Soccer Center,01-4112251,645b9e32ddeb8001263bec2c
Kathmandu 44600,Baijanti Futsal,980-1057185,645b9e32ddeb8001263bec2d
"P7MQ+FXH, Kathmandu 44600",Balchhi Dhurbe Futsal,01-5139293,645b9e32ddeb8001263bec2e
"Pepsi planning -35, Kathmandu, Pepsi Planning",BG Brothers Health Club Futsal,M9R9+6F Kathmandu,645b9e32ddeb8001263bec2f
"P8P9+W28, Kathmandu 44600",Bishal futsal,,645b9e32ddeb8001263bec30
Kathmandu 44600,Buddhanagar Futsal,01-4792002,645b9e32ddeb8001263bec31
"M7WR+QGV, Red Cross Sadak, Kathmandu 44614",Chaitya Futsal,984-9719060,645b9e32ddeb8001263bec32
"M84P+2QF, Mahalaxmi 44700",Champions Futsal,,645b9e32ddeb8001263bec33
Kathmandu 45310,Chaur Recreational Center,01-4377515,645b9e32ddeb8001263bec34
"P89R+W8R, Dhanawantari Marg, Kathmandu 44600",Dhanyentari Futsal,01-4009635,645b9e32ddeb8001263bec35
"Lamingtan Marg 4, Kathmandu 44600",Dhuku Sports Hub,,645b9e32ddeb8001263bec36
"M9R6+GRC, old, Kathmandu",Easy Futsal,01-4990648,645b9e32ddeb8001263bec37
"M8P2+9WR, Sanepa Rd, Lalitpur 44700",Field Futsal,01-5528361,645b9e32ddeb8001263bec38
"Boudha Town Planning, Kathmandu 44621",Futsal Arena Boudha,,645b9e32ddeb8001263bec39
"Boudha Town Planning, Kathmandu 44621",Futsal Arena Boudha,,645b9e32ddeb8001263bec3a
"P829+2P9, Kathmandu 44600",Futsal Court Funpark,,645b9e32ddeb8001263bec3b
"P8R7+H5J, Kathmandu 44600",G4 Futsal & Badminton,,645b9e32ddeb8001263bec3c
"Tokha Rd, Kathmandu 44600",Grande Sports Center,,645b9e32ddeb8001263bec3d
"Jorpati-3, 44600",Highway Futsal,,645b9e32ddeb8001263bec3e
"M87X+5FG, Mahalaxmi 44600",Imadol Futsal,984-1271350,645b9e32ddeb8001263bec3f
"M9F8+9JC, Araniko Highway, Madhyapur Thimi 44600",Imperial Rulz Futsal,01-6636833,645b9e32ddeb8001263bec40
,Kathmandu Futsal,,645b9e32ddeb8001263bec41
"M8HH+9MP, Lalitpur 44600",Kick Futsal Lalitpur,,645b9e32ddeb8001263bec42
"43/33, Paknajol Marg, Kathmandu 44600",Kumari Futsal,,645b9e32ddeb8001263bec43
"5A side indoor futsal, Triveni Marg, Lalitpur 44600",Lalitpur 5A Side Indoor Football Ground,M8Q3+WH Lalitpur,645b9e32ddeb8001263bec44
"P8M7+5V8, Kathmandu 44600",Manang Marshyangdi Futsal,01-6200126,645b9e32ddeb8001263bec45
Kathmandu 44600,"Mate's Futsal",,645b9e32ddeb8001263bec46
"Eureka Rd, Tarakeshwar 44600",Phoenix Futsal & Swimming Pool,,645b9e32ddeb8001263bec47
"Baniyatar Rd 11, Tokha 44600",Premier Futsal,,645b9e32ddeb8001263bec48
"Jayanti Galli, Kathmandu 44600",Prime Futsal Gyaneshwor,986-0306492,645b9e32ddeb8001263bec49
"M8J4+9JQ, Lalitpur 44700",Prismatic Futsal & Recreation Center,01-5906629,645b9e32ddeb8001263bec4a
"M9FH+R77, Madhyapur Thimi 44600",Promotional Futsal,01-6212821,645b9e32ddeb8001263bec4b
Kathmandu 44600,Rave Futsal Center,01-4374343,645b9e32ddeb8001263bec4c
"Khusibu Sadak, Kathmandu 44600",River Field futsal,01-4361095,645b9e32ddeb8001263bec4d
"M8VJ+52F, Pushpa Nagar Marg, Kathmandu 44600",Royal Futsal,,645b9e32ddeb8001263bec4e
"MCC2+PF7, Suryabinayak",S. Glory Futsal,984-0252869,645b9e32ddeb8001263bec4f
"44600, Kathmandu",Samakhusi Futsal,01-4963834,645b9e32ddeb8001263bec50
"M8MJ+2WW, Kathmandu 44600",Shankhamul Futsal,01-4792088,645b9e32ddeb8001263bec51
"M8RX+Q4M, Kathmandu 44600",Shantinagar Futsal,985-1188182,645b9e32ddeb8001263bec52
"P8J7+2F8, Kathmandu 44600",Star Futsal,984-6438561,645b9e32ddeb8001263bec53
"M8G2+9CX, Ring Road, Lalitpur 44600",Sunrise S.A.S Futsal,986-0782591,645b9e32ddeb8001263bec54
"Dhumbarai Rd 4, Kathmandu 44600",Surya Futsal,01-4371660,645b9e32ddeb8001263bec55
"Bijaya Marg, Kathmandu 44600",United Futsal,,645b9e32ddeb8001263bec56
"P872+559, Kathmandu 44600",Vajra Futsal,,645b9e32ddeb8001263bec57
"M9G6+CH3, Madhyapur Thimi 44600",Wembley Goals Futsal Arena,,645b9e32ddeb8001263bec58
"P8MX+5QV, Budhanilkantha 44602",White Horse Futsal,01-4015067,645b9e32ddeb8001263bec59
"P8FM+923, Kathmandu 44600",X-cel Futsal,01-4440857,645b9e32ddeb8001263bec5a
"M87P+5VQ, Unnamed Road, Mahalaxmi 44700",Yala Futsal & Recreational Center,01-5200389,645b9e32ddeb8001263bec5b
